author,authorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q232260,Q232260,λογοτεχνία,Λονδίνο,1930-02-17T00:00:00Z,2015-05-02T00:00:00Z,
http://www.wikidata.org/entity/Q233439,Τζέσι Κέιβ,"λογοτεχνία, υποκριτική, γελοιογραφία",Λονδίνο,1987-05-05T00:00:00Z,,
http://www.wikidata.org/entity/Q233950,Q233950,"οικονομικά, ψυχολογία, γνωστική ψυχολογία, Οικονομική ψυχολογία",Τελ Αβίβ,1934-03-05T00:00:00Z,2024-03-27T00:00:00Z,
http://www.wikidata.org/entity/Q3435155,Q3435155,βιολογία,Σαιντ Λούις,1920-09-10T00:00:00Z,2019-04-12T00:00:00Z,
http://www.wikidata.org/entity/Q3595572,Q3595572,"επιστήμη, ιστορία, διπλωματία, δημοσιογραφία",Q150058,1895-06-03T00:00:00Z,1963-12-10T00:00:00Z,
http://www.wikidata.org/entity/Q3639386,Q3639386,"βιολογία, Δημοσιογραφία μόδας",Τεργέστη,1924-01-29T00:00:00Z,,
http://www.wikidata.org/entity/Q3839378,Q3839378,"ιστορία, αρχαιολογία",Μιλάνο,1758-02-25T00:00:00Z,1835-04-10T00:00:00Z,
http://www.wikidata.org/entity/Q3839378,Q3839378,"ιστορία, αρχαιολογία",Μιλάνο,1758-02-28T00:00:00Z,1835-04-10T00:00:00Z,
http://www.wikidata.org/entity/Q4057014,Q4057014,"Μεταλλευτική, γεωφυσική",Q178870,1905-11-12T00:00:00Z,1993-10-14T00:00:00Z,
http://www.wikidata.org/entity/Q4070987,Γκριγκόρι Αρς,"βυζαντινές σπουδές, ιστορία, βαλκανικές σπουδές",Αρχάνγκελσκ,1925-11-21T00:00:00Z,2017-09-15T00:00:00Z,Ρώσος ιστορικός
http://www.wikidata.org/entity/Q892,Τζ. Ρ. Ρ. Τόλκιν,"λογοτεχνία, γλωσσολογία, Αγγλική λογοτεχνία, λογοτεχνία φαντασίας",Μπλουμφοντέιν,1892-01-03T00:00:00Z,1973-09-02T00:00:00Z,συγγραφέας
http://www.wikidata.org/entity/Q2754,Γιάροσλαβ Χάσεκ,"λογοτεχνία, δημοσιογραφία, χιούμορ, σάτιρα, Καμπαρέ, δημοσιογραφία γνώμης",Πράγα,1883-04-30T00:00:00Z,1923-01-03T00:00:00Z,
http://www.wikidata.org/entity/Q5603,Άντι Γουόρχολ,"ταινία, ζωγραφική, Ποπ Αρτ, σχεδιασμός, γραφικά",Πίτσμπεργκ,1928-08-06T00:00:00Z,1987-02-22T00:00:00Z,"Αμερικανός πολυσχιδής καλλιτέχνης, πρωτοπόρος του κινήματος της Ποπ Αρτ."
http://www.wikidata.org/entity/Q5686,Κάρολος Ντίκενς,λογοτεχνία,Q1803681,1812-02-07T00:00:00Z,1870-06-09T00:00:00Z,Άγγλος μυθιστοριογράφος (1812–1870)
http://www.wikidata.org/entity/Q6882,Τζέιμς Τζόυς,"λογοτεχνία, μυθιστόρημα",Q2528857,1882-02-02T00:00:00Z,1941-01-13T00:00:00Z,Ιρλανδός συγγραφέας
http://www.wikidata.org/entity/Q7200,Αλεξάντρ Σεργκέγεβιτς Πούσκιν,"μετάφραση, κριτική, δραματουργία, επιστήμη της ιστορίας",Μόσχα,1799-06-06T00:00:00Z,1837-02-10T00:00:00Z,"Ρώσος ποιητής, δραματουργός και μυθιστοριογράφος"
http://www.wikidata.org/entity/Q10390,Τζον Μακέιν,πολιτική,Q1105400,1936-08-29T00:00:00Z,2018-08-25T00:00:00Z,
http://www.wikidata.org/entity/Q21163,Q21163,κοινωνιολογία,Q20784,1855-07-26T00:00:00Z,1936-04-09T00:00:00Z,
http://www.wikidata.org/entity/Q34660,Τζ. Κ. Ρόουλινγκ,"λογοτεχνία, λογοτεχνία φαντασίας",Q1025095,1965-07-31T00:00:00Z,,Αγγλίδα συγγραφέας
http://www.wikidata.org/entity/Q36843,Βάλτερ Γκρος,"πολιτική, ναζισμός, ευγονική",Κάσσελ,1904-10-21T00:00:00Z,1945-04-25T00:00:00Z,
http://www.wikidata.org/entity/Q46248,Τέρι Πράτσετ,"δημοσιογραφία, λογοτεχνία φαντασίας",Μπίκονσφιλντ,1948-04-28T00:00:00Z,2015-03-12T00:00:00Z,Άγγλος λογοτέχνης
http://www.wikidata.org/entity/Q53009,Μπερνάρντο Μπερτολούτσι,"παραγωγή ταινιών, ταινία",Πάρμα,1941-03-16T00:00:00Z,2018-11-22T00:00:00Z,Ιταλός σκηνοθέτης και παραγωγός ταινιών
http://www.wikidata.org/entity/Q57592,Μάγκνους Χίρσφελντ,ιατρός,Κοουόμπζεγκ,1868-05-14T00:00:00Z,1935-05-14T00:00:00Z,Γερμανός γιατρός και σεξολόγος
http://www.wikidata.org/entity/Q64265,Q64265,οικονομικά,Μάρμπουργκ,1821-03-29T00:00:00Z,1898-08-03T00:00:00Z,
http://www.wikidata.org/entity/Q68818,Q68818,νομική,Βρότσλαβ,1838-05-24T00:00:00Z,1918-03-23T00:00:00Z,
http://www.wikidata.org/entity/Q78275,Q78275,"Ρωμαϊκό Δίκαιο, Κανονικό Δίκαιο",Ρόστοκ,1841-10-29T00:00:00Z,1917-05-16T00:00:00Z,
http://www.wikidata.org/entity/Q85144,Q85144,"Ιστορία του Χριστιανισμού, Καθολική θεολογία",Q21342,1862-03-14T00:00:00Z,1940-09-23T00:00:00Z,
http://www.wikidata.org/entity/Q91443,Q91443,"αστρονομία, μαθηματικά, αστροφυσική, εκλαϊκευμένη επιστήμη",Q927902,1926-05-24T00:00:00Z,2020-11-15T00:00:00Z,
http://www.wikidata.org/entity/Q91448,Q91448,"αθλητισμός, φιλοσοφία, φιλολογία, κοινωνιολογία",Δρέσδη,1960-07-07T00:00:00Z,,
http://www.wikidata.org/entity/Q92525,Γκότλιμπ Βίλχελμ Μπέκερ,"ιστορία, μετάφραση, ιατρική, Ιστοριογραφία",Λειψία,1778-02-22T00:00:00Z,1854-01-17T00:00:00Z,
http://www.wikidata.org/entity/Q99101,Q99101,νεότερη ιστορία,Βίτκοφ,1933-03-02T00:00:00Z,,
http://www.wikidata.org/entity/Q99270,Q99270,βιβλιοθηκονομία,Βερολίνο,1886-02-23T00:00:00Z,1945-04-28T00:00:00Z,
http://www.wikidata.org/entity/Q104027,Κερκ Ντάγκλας,"υποκριτική, παραγωγή ταινιών",Q478456,1916-12-09T00:00:00Z,2020-02-05T00:00:00Z,Αμερικανός ηθοποιός Λευκορωσικης καταγωγής
http://www.wikidata.org/entity/Q104359,Q104359,"Ιστορία της Τέχνης, πολιτισμολογία, ιστορία του πολιτισμού, Ιστορία της αρχιτεκτονικής",Χέρφορντ,1936-04-21T00:00:00Z,,
http://www.wikidata.org/entity/Q109078,Q109078,"εικαστικές τέχνες, Τέχνη νέων μέσων, ραδιοφωνικό δράμα",Ντύσσελντορφ,1942-08-03T00:00:00Z,2018-12-17T00:00:00Z,
http://www.wikidata.org/entity/Q109557,Q109557,Σημαία ευκαιρίας,Βερολίνο,1938-04-22T00:00:00Z,2023-08-15T00:00:00Z,
http://www.wikidata.org/entity/Q118296,Q118296,ντοκιμαντέρ,Ανατολικό Βερολίνο,1955-08-22T00:00:00Z,2024-05-29T00:00:00Z,
http://www.wikidata.org/entity/Q123139,Q123139,αισθητική,Αμβούργο,1960-04-28T00:00:00Z,,
http://www.wikidata.org/entity/Q158840,Τζέιμς Ένσορ,ζωγραφική,Οστένδη,1860-04-13T00:00:00Z,1949-11-19T00:00:00Z,
http://www.wikidata.org/entity/Q163662,Q163662,τέχνες του θεάματος,Πίτσμπεργκ,1889-11-16T00:00:00Z,1961-06-02T00:00:00Z,
