politician,politicianLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q88200,Φρίντριχ Βίλχελμ φον Ρέντεν,"μεταλλουργία, Μεταλλευτική, δημόσια υπηρεσία, ορυχείο",Χάμελιν,1752-03-23T00:00:00Z,1815-07-03T00:00:00Z,
http://www.wikidata.org/entity/Q320,Μιτσέλ Μπατσελέτ,στρατιωτική στρατηγική,Q14456,1951-09-29T00:00:00Z,,34η και 36η προεδρός της Χιλής
http://www.wikidata.org/entity/Q855,Ιωσήφ Στάλιν,"πολιτικός, επαναστάτης, δημοσιογράφος άποψης",Γκόρι,1878-12-18T00:00:00Z,1953-03-05T00:00:00Z,"Σοβιετικός πολιτικός, γενικός γραμματέας του Κομμουνιστικού Κόμματος της Σοβιετικής Ένωσης και ηγέτης της ΕΣΣΔ"
http://www.wikidata.org/entity/Q1047,Τζαβαχαρλάλ Νεχρού,φυσική επιστήμη,Πραγιαγκράτζ,1889-11-14T00:00:00Z,1964-05-27T00:00:00Z,
http://www.wikidata.org/entity/Q1257,Μπούτρος Μπούτρος - Γκάλι,"πολιτική επιστήμη, διεθνείς σχέσεις",Κάιρο,1922-11-14T00:00:00Z,2016-02-16T00:00:00Z,γενικός γραμματέας του ΟΗΕ την περίοδο 1992 - 1996
http://www.wikidata.org/entity/Q5749,Πιέρ-Ζοζέφ Προυντόν,φιλοσοφία,Μπεζανσόν,1809-01-15T00:00:00Z,1865-01-19T00:00:00Z,"Γάλλος πολιτικός, μουτουαλιστής φιλόσοφος και σοσιαλιστής"
http://www.wikidata.org/entity/Q5752,Πιοτρ Κροπότκιν,φιλοσοφία,Μόσχα,1842-12-09T00:00:00Z,1921-02-08T00:00:00Z,ρώσος αναρχικός συγγραφέας
http://www.wikidata.org/entity/Q7416,Μάργκαρετ Θάτσερ,"χημεία, πολιτική",Γκράντχαμ,1925-10-13T00:00:00Z,2013-04-08T00:00:00Z,Βρετανίδα πολιτικός και πρώην Πρωθυπουργός του Ηνωμένου Βασιλείου (1979-1990)
http://www.wikidata.org/entity/Q7504,Ιρέν Ζολιό-Κιουρί,"χημεία, Ραδιοβιολογία",13ο δημοτικό διαμέρισμα του Παρισιού,1897-09-12T00:00:00Z,1956-03-17T00:00:00Z,"Γαλλίδα χημικός, φυσικός και πολιτικός"
http://www.wikidata.org/entity/Q9061,Καρλ Μαρξ,"φιλοσοφία, κοινωνιολογία, Πολιτική οικονομία",Τριρ,1818-05-05T00:00:00Z,1883-03-14T00:00:00Z,Γερμανός φιλόσοφος και οικονομολόγος
http://www.wikidata.org/entity/Q9061,Καρλ Μαρξ,"φιλοσοφία, κοινωνιολογία, Πολιτική οικονομία",Τριρ,1818-05-17T00:00:00Z,1883-03-14T00:00:00Z,Γερμανός φιλόσοφος και οικονομολόγος
http://www.wikidata.org/entity/Q9061,Καρλ Μαρξ,"φιλοσοφία, κοινωνιολογία, Πολιτική οικονομία",Τριρ,1818-05-05T00:00:00Z,1883-03-26T00:00:00Z,Γερμανός φιλόσοφος και οικονομολόγος
http://www.wikidata.org/entity/Q9061,Καρλ Μαρξ,"φιλοσοφία, κοινωνιολογία, Πολιτική οικονομία",Τριρ,1818-05-17T00:00:00Z,1883-03-26T00:00:00Z,Γερμανός φιλόσοφος και οικονομολόγος
