actor,actorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q43416,Κιάνου Ριβς,"Κόμικς, παραγωγή ταινιών, εκδοτικός οίκος",Βηρυτός,1964-09-02T00:00:00Z,,Καναδός Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q87331,Q87331,"μετάφραση, δημοσιογραφία, θέατρο",Αμβούργο,1805-11-04T00:00:00Z,1892-09-09T00:00:00Z,
http://www.wikidata.org/entity/Q87331,Q87331,"μετάφραση, δημοσιογραφία, θέατρο",Βιέννη,1805-11-04T00:00:00Z,1892-09-09T00:00:00Z,
http://www.wikidata.org/entity/Q87331,Q87331,"μετάφραση, δημοσιογραφία, θέατρο",Αμβούργο,1805-11-04T00:00:00Z,1892-09-10T00:00:00Z,
http://www.wikidata.org/entity/Q87331,Q87331,"μετάφραση, δημοσιογραφία, θέατρο",Βιέννη,1805-11-04T00:00:00Z,1892-09-10T00:00:00Z,
http://www.wikidata.org/entity/Q87346,Q87346,"λογοτεχνία, λογοτεχνική ανάλυση",Βερολίνο,1908-03-21T00:00:00Z,1941-06-04T00:00:00Z,
http://www.wikidata.org/entity/Q87346,Q87346,"λογοτεχνία, λογοτεχνική ανάλυση",Q561880,1908-03-21T00:00:00Z,1941-06-04T00:00:00Z,
http://www.wikidata.org/entity/Q87346,Q87346,"λογοτεχνία, λογοτεχνική ανάλυση",Q9169094,1908-03-21T00:00:00Z,1941-06-04T00:00:00Z,
http://www.wikidata.org/entity/Q87457,Q87457,"ποίηση, πολιτική, λογοτεχνία, δημοσιογραφία, θέατρο",Βρότσλαβ,1819-05-24T00:00:00Z,1883-02-05T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q88125,Q88125,"λογοτεχνία, θέατρο",Γκαλάτσι,1887-08-07T00:00:00Z,1970-12-21T00:00:00Z,
http://www.wikidata.org/entity/Q88821,Q88821,"ποίηση, λογοτεχνία, θέατρο",Βιέννη,1866-11-14T00:00:00Z,1923-07-18T00:00:00Z,
http://www.wikidata.org/entity/Q89000,Q89000,"μουσική, άσμα, υποκριτική",Σάλτσμπουργκ,1960-09-10T00:00:00Z,,
http://www.wikidata.org/entity/Q89496,Q89496,"μουσική, άσμα, υποκριτική, Μεταγλώττιση",Βάουμπζιχ,1943-10-27T00:00:00Z,,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q89604,Q89604,"υποκριτική, λογοτεχνία, μουσική",Νόβα Ρούντα,1874-04-07T00:00:00Z,1945-04-30T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q96050,Q96050,"όπερα, άσμα, υποκριτική",Χάλλε (Ζάαλε),1901-01-01T00:00:00Z,1976-01-01T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q96050,Q96050,"όπερα, άσμα, υποκριτική",Χάλλε (Ζάαλε),1901-05-14T00:00:00Z,1976-01-01T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q96050,Q96050,"όπερα, άσμα, υποκριτική",Χάλλε (Ζάαλε),1901-01-01T00:00:00Z,1976-05-13T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q96050,Q96050,"όπερα, άσμα, υποκριτική",Χάλλε (Ζάαλε),1901-05-14T00:00:00Z,1976-05-13T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q97039,Q97039,"όπερα, θέατρο, υποκριτική",Παντερμπόρν,1781-02-23T00:00:00Z,1868-02-25T00:00:00Z,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q97335,Q97335,"τηλεόραση, θέατρο, ταινία, υποκριτική",Μύνστερ,1976-05-06T00:00:00Z,,
http://www.wikidata.org/entity/Q97768,Q97768,"μουσική, ταινία, υποκριτική",Τσεχοσλοβακία,1937-04-11T00:00:00Z,2000-01-06T00:00:00Z,
http://www.wikidata.org/entity/Q97768,Q97768,"μουσική, ταινία, υποκριτική",Q601254,1937-04-11T00:00:00Z,2000-01-06T00:00:00Z,
http://www.wikidata.org/entity/Q99258,Q99258,"μουσική, τέχνη, ταινία, δημοσιογραφία γνώμης, σύνθεση",Στουτγκάρδη,1939-01-15T00:00:00Z,2021-10-21T00:00:00Z,
http://www.wikidata.org/entity/Q99302,Ζυλί Αλαντάγ,"τηλεόραση, ταινία",Βαν,1968-01-02T00:00:00Z,,
http://www.wikidata.org/entity/Q100844,Q100844,υποκριτική,Κέμνιτς,1928-01-31T00:00:00Z,2022-04-09T00:00:00Z,
http://www.wikidata.org/entity/Q101189,Q101189,υποκριτική,Έσσεν,1923-02-09T00:00:00Z,2002-04-03T00:00:00Z,
http://www.wikidata.org/entity/Q101267,Q101267,υποκριτική,Μόναχο,1971-04-21T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q101903,Q101903,υποκριτική,Q542224,1930-06-11T00:00:00Z,2021-03-03T00:00:00Z,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q101903,Q101903,υποκριτική,Q542224,1935-06-11T00:00:00Z,2021-03-03T00:00:00Z,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q101969,Q101969,"άσμα, μουσική, υποκριτική",Βρέμη,1932-03-29T00:00:00Z,2019-12-13T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q102462,Τζέιμς Στιούαρτ,υποκριτική,"Ιντιάνα, Πενσυλβάνια",1908-05-20T00:00:00Z,1997-07-02T00:00:00Z,Αμερικανός ηθοποιός (1908–1997)
http://www.wikidata.org/entity/Q102678,Q102678,υποκριτική,Q1593759,1963-11-23T00:00:00Z,2017-09-28T00:00:00Z,
http://www.wikidata.org/entity/Q125596,Q125596,"τηλεόραση, ταινία, άσμα, υποκριτική, ραδιοφωνικό δράμα",Δυτικό Βερολίνο,1950-12-02T00:00:00Z,,
http://www.wikidata.org/entity/Q134333,Ρότζερ Μουρ,"τηλεόραση, ταινία, υποκριτική",Q146891,1927-10-14T00:00:00Z,2017-05-23T00:00:00Z,Βρετανός ηθοποιός (1927–2017)
http://www.wikidata.org/entity/Q853,Αντρέι Ταρκόφσκι,"ταινία, υποκριτική",Ζαβράγιε,1932-04-04T00:00:00Z,1986-12-29T00:00:00Z,Ρώσος σκηνοθέτης και σεναριογράφος
http://www.wikidata.org/entity/Q1698,Σερζ Γκαινσμπούρ,τέχνες του θεάματος,4ο δημοτικό διαμέρισμα του Παρισιού,1928-04-02T00:00:00Z,1991-03-02T00:00:00Z,Γάλλος μουσικός και ηθοποιός
http://www.wikidata.org/entity/Q1744,Μαντόνα,"τέχνες του θεάματος, σύνθεση, Κινηματογραφική βιομηχανία, μουσική βιομηχανία",Μπέι Σίτι,1958-08-16T00:00:00Z,,
http://www.wikidata.org/entity/Q2190,Q2190,"χιούμορ, υποκριτική",14ο δημοτικό διαμέρισμα του Παρισιού,1944-10-28T00:00:00Z,1986-06-19T00:00:00Z,
http://www.wikidata.org/entity/Q2291,Τοτό,"άσμα, στίχος",Νάπολη,1898-02-15T00:00:00Z,1967-04-15T00:00:00Z,
http://www.wikidata.org/entity/Q2685,Άρνολντ Σβαρτσενέγκερ,"πολιτική, Σωματοδόμηση, υποκριτική",Ταλ,1947-07-30T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q2831,Μάικλ Τζάκσον,"τέχνες του θεάματος, σύνθεση, Κινηματογραφική βιομηχανία, μουσική βιομηχανία",Γκάρι,1958-08-29T00:00:00Z,2009-06-25T00:00:00Z,Αμερικανός τραγουδιστής και χορευτής
http://www.wikidata.org/entity/Q4235,Μάιλι Σάιρους,ποπ μουσική,Νάσβιλ,1992-11-23T00:00:00Z,,
http://www.wikidata.org/entity/Q5443,Γκρέτα Γκάρμπο,ηθοποιός,Q3427889,1905-09-18T00:00:00Z,1990-04-15T00:00:00Z,Σουηδο-Αμερικανίδα ηθοποιός (1905-1990)
http://www.wikidata.org/entity/Q5577,Σαλβαδόρ Νταλί,"ζωγραφική, γλυπτική, κόσμημα",Φιγέρες,1904-05-11T00:00:00Z,1989-01-23T00:00:00Z,Ισπανός ζωγράφους (1904-1989)
http://www.wikidata.org/entity/Q5912,Μαρσέλ Ντυσάν,"ζωγραφική, γλυπτική",Μπλαινβίλ-Κρεβόν,1887-07-28T00:00:00Z,1968-10-02T00:00:00Z,"Γαλλο-Αμερικανός ηθοποιός, σκακιστής, ζωγράφος, γλύπτης και χαράκτης"
http://www.wikidata.org/entity/Q7546,Ίνγκμαρ Μπέργκμαν,τέχνες του θεάματος,Q10710237,1918-07-14T00:00:00Z,2007-07-30T00:00:00Z,Σουηδός σκηνοθέτης και σεναριογράφος
http://www.wikidata.org/entity/Q8877,Στίβεν Σπίλμπεργκ,"ταινία, παραγωγή ταινιών",Σινσινάτι,1946-12-18T00:00:00Z,,"Αμερικανός σκηνοθέτης, σεναριογράφος και παραγωγός ταινιών"
