scientist,scientistLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q17280087,Εμμανουέλ Σαρπαντιέ,"μικροβιολογία, γενετική, βιοχημεία",Ζυβιζί-συρ-Ορζ,1968-12-11T00:00:00Z,,Γαλλίδα μικροβιολόγος και βιοχημικός
http://www.wikidata.org/entity/Q21262416,Ιρίνα Γκούρεβιτς,"Ψηφιακές Ανθρωπιστικές Επιστήμες, υπολογιστική γλωσσολογία",Βίννιτσια,1976-03-16T00:00:00Z,,Ουκρανή επιστήμονας υπολογιστών
http://www.wikidata.org/entity/Q16739240,Q16739240,Ψηφιακές Ανθρωπιστικές Επιστήμες,Βορμς,1951-12-12T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q307,Γαλιλαίος Γαλιλέι,"μηχανική, φιλοσοφία, φυσική, μαθηματικά, αστρονομία",Πίζα,1564-02-25T00:00:00Z,1642-01-08T00:00:00Z,"Ιταλός φυσικός, μαθηματικός, αστρονόμος και φιλόσοφος, που έπαιξε σημαντικό ρόλο στην επιστημονική επανάσταση"
http://www.wikidata.org/entity/Q6722,Καρλ Φρίντριχ Γκάους,"Διαφορική γεωμετρία, γεωδαισία, ηλεκτροστατική, μηχανική, οπτική, θεωρία αριθμών, ηλεκτρομαγνητισμός, Μαθηματική ανάλυση, άλγεβρα, φυσική, μαθηματικά, αστρονομία",Μπράουνσβαϊγκ,1777-04-30T00:00:00Z,1855-02-23T00:00:00Z,Γερμανός μαθηματικός
http://www.wikidata.org/entity/Q39599,Κρίστιαν Χόυχενς,"μηχανική, φυσική, μαθηματικά, αστρονομία",Χάγη,1629-04-14T00:00:00Z,1695-07-08T00:00:00Z,"Ολλανδός φυσικός, αστρονόμος και μαθηματικός"
http://www.wikidata.org/entity/Q16389,Τσαρλς Κάο,"ιστορία της τεχνολογίας, Μετάδοση δεδομένων, ηλεκτρολογία μηχανική, Υαλοβάμβακας, τηλεπικοινωνίες, οπτική ίνα",Σαγκάη,1933-11-04T00:00:00Z,2018-09-23T00:00:00Z,Κινέζος φυσικός και μηχανικός
http://www.wikidata.org/entity/Q16389,Τσαρλς Κάο,"ιστορία της τεχνολογίας, Μετάδοση δεδομένων, ηλεκτρολογία μηχανική, Υαλοβάμβακας, τηλεπικοινωνίες, οπτική ίνα",Λαϊκή Δημοκρατία της Κίνας,1933-11-04T00:00:00Z,2018-09-23T00:00:00Z,Κινέζος φυσικός και μηχανικός
http://www.wikidata.org/entity/Q16498,Κατερίνα Γιούστσενκο,"Κυβερνητική, προγραμματισμός, Επιστήμη υπολογιστών, γλώσσα προγραμματισμού",Τσιχίριν,1919-12-08T00:00:00Z,2001-08-15T00:00:00Z,Ουκρανή επιστήμονας πληροφορικής
http://www.wikidata.org/entity/Q17455,Τζον φον Νόιμαν,"πληροφορική, Ατομική βόμβα, κβαντική φυσική, συναρτησιακή ανάλυση, Κυτταρικό αυτόματο, Θεωρία παιγνίων, θεωρία συνόλων, φυσική, μαθηματικά",Βουδαπέστη,1903-12-28T00:00:00Z,1957-02-08T00:00:00Z,"Αμερικανός, γεν. στη Ουγγαρία, μαθηματικός και πολυμαθής"
